Region,Group,Dimension,Party,Vote_Pct_Regional
London,ABC1,ipsos_grade,Con,21.38
London,ABC1,ipsos_grade,Green,10.1
London,ABC1,ipsos_grade,IND,4.81
London,ABC1,ipsos_grade,LD,13.91
London,ABC1,ipsos_grade,Lab,41.63
London,ABC1,ipsos_grade,Reform,8.18
London,Age 18-24,yg_age,Con,23.2
London,Age 18-24,yg_age,Green,1.27
London,Age 18-24,yg_age,IND,14.83
London,Age 18-24,yg_age,LD,32.49
London,Age 18-24,yg_age,Lab,25.92
London,Age 18-24,yg_age,Reform,2.29
London,Age 25-49,yg_age,Con,17.22
London,Age 25-49,yg_age,Green,13.1
London,Age 25-49,yg_age,IND,7.64
London,Age 25-49,yg_age,LD,3.24
London,Age 25-49,yg_age,Lab,50.91
London,Age 25-49,yg_age,Reform,7.88
London,Age 50-64,yg_age,Con,21.84
London,Age 50-64,yg_age,Green,8.8
London,Age 50-64,yg_age,IND,3.38
London,Age 50-64,yg_age,LD,15.82
London,Age 50-64,yg_age,Lab,38.38
London,Age 50-64,yg_age,Reform,11.78
London,Age 65+,yg_age,Con,26.48
London,Age 65+,yg_age,Green,7.21
London,Age 65+,yg_age,IND,3.0
London,Age 65+,yg_age,LD,16.3
London,Age 65+,yg_age,Lab,34.12
London,Age 65+,yg_age,Reform,12.89
London,C2DE,ipsos_grade,Con,18.39
London,C2DE,ipsos_grade,Green,10.51
London,C2DE,ipsos_grade,IND,9.67
London,C2DE,ipsos_grade,LD,6.18
London,C2DE,ipsos_grade,Lab,46.28
London,C2DE,ipsos_grade,Reform,8.97
London,Degree,education,Con,5.71
London,Degree,education,Green,11.71
London,Degree,education,IND,9.54
London,Degree,education,LD,19.41
London,Degree,education,Lab,50.92
London,Degree,education,Reform,2.7
London,Detached,housing,Con,42.38
London,Detached,housing,Green,7.72
London,Detached,housing,IND,1.52
London,Detached,housing,LD,12.63
London,Detached,housing,Lab,27.93
London,Detached,housing,Reform,7.83
London,Flat,housing,Con,15.07
London,Flat,housing,Green,11.58
London,Flat,housing,IND,8.21
London,Flat,housing,LD,9.91
London,Flat,housing,Lab,47.67
London,Flat,housing,Reform,7.56
London,Ipsos 18-34,ipsos_age,Con,20.37
London,Ipsos 18-34,ipsos_age,Green,9.08
London,Ipsos 18-34,ipsos_age,IND,12.8
London,Ipsos 18-34,ipsos_age,LD,8.26
London,Ipsos 18-34,ipsos_age,Lab,45.06
London,Ipsos 18-34,ipsos_age,Reform,4.43
London,Ipsos 35-54,ipsos_age,Con,16.24
London,Ipsos 35-54,ipsos_age,Green,12.22
London,Ipsos 35-54,ipsos_age,IND,5.05
London,Ipsos 35-54,ipsos_age,LD,11.25
London,Ipsos 35-54,ipsos_age,Lab,45.79
London,Ipsos 35-54,ipsos_age,Reform,9.44
London,Ipsos 55+,ipsos_age,Con,24.33
London,Ipsos 55+,ipsos_age,Green,9.18
London,Ipsos 55+,ipsos_age,IND,3.26
London,Ipsos 55+,ipsos_age,LD,11.08
London,Ipsos 55+,ipsos_age,Lab,39.9
London,Ipsos 55+,ipsos_age,Reform,12.25
London,NS-SeC Higher,yg_nsec,Con,19.38
London,NS-SeC Higher,yg_nsec,Green,10.86
London,NS-SeC Higher,yg_nsec,IND,5.44
London,NS-SeC Higher,yg_nsec,LD,14.61
London,NS-SeC Higher,yg_nsec,Lab,43.21
London,NS-SeC Higher,yg_nsec,Reform,6.5
London,NS-SeC Intermediate,yg_nsec,Con,23.28
London,NS-SeC Intermediate,yg_nsec,Green,9.27
London,NS-SeC Intermediate,yg_nsec,IND,5.09
London,NS-SeC Intermediate,yg_nsec,LD,11.83
London,NS-SeC Intermediate,yg_nsec,Lab,40.96
London,NS-SeC Intermediate,yg_nsec,Reform,9.56
London,NS-SeC Routine,yg_nsec,Con,16.03
London,NS-SeC Routine,yg_nsec,Green,11.28
London,NS-SeC Routine,yg_nsec,IND,10.64
London,NS-SeC Routine,yg_nsec,LD,5.81
London,NS-SeC Routine,yg_nsec,Lab,47.85
London,NS-SeC Routine,yg_nsec,Reform,8.38
London,No Degree,education,Con,31.94
London,No Degree,education,Green,9.1
London,No Degree,education,IND,5.13
London,No Degree,education,LD,2.42
London,No Degree,education,Lab,37.92
London,No Degree,education,Reform,13.49
London,Non-White,eth_binary,Con,14.32
London,Non-White,eth_binary,Green,12.26
London,Non-White,eth_binary,IND,11.51
London,Non-White,eth_binary,LD,6.67
London,Non-White,eth_binary,Lab,53.7
London,Non-White,eth_binary,Reform,1.53
London,Owner,tenure,Con,31.04
London,Owner,tenure,Green,8.11
London,Owner,tenure,IND,5.98
London,Owner,tenure,LD,4.87
London,Owner,tenure,Lab,38.3
London,Owner,tenure,Reform,11.7
London,Renter,tenure,Con,11.09
London,Renter,tenure,Green,12.03
London,Renter,tenure,IND,8.08
London,Renter,tenure,LD,14.45
London,Renter,tenure,Lab,48.3
London,Renter,tenure,Reform,6.05
London,White,eth_binary,Con,24.59
London,White,eth_binary,Green,8.67
London,White,eth_binary,IND,3.54
London,White,eth_binary,LD,13.11
London,White,eth_binary,Lab,35.71
London,White,eth_binary,Reform,14.37
Midlands,ABC1,ipsos_grade,Con,31.75
Midlands,ABC1,ipsos_grade,Green,6.39
Midlands,ABC1,ipsos_grade,IND,2.67
Midlands,ABC1,ipsos_grade,LD,9.54
Midlands,ABC1,ipsos_grade,Lab,32.64
Midlands,ABC1,ipsos_grade,Reform,17.01
Midlands,Age 18-24,yg_age,Con,22.3
Midlands,Age 18-24,yg_age,Green,7.44
Midlands,Age 18-24,yg_age,IND,10.79
Midlands,Age 18-24,yg_age,LD,8.28
Midlands,Age 18-24,yg_age,Lab,33.08
Midlands,Age 18-24,yg_age,Reform,18.11
Midlands,Age 25-49,yg_age,Con,20.0
Midlands,Age 25-49,yg_age,Green,6.85
Midlands,Age 25-49,yg_age,IND,6.82
Midlands,Age 25-49,yg_age,LD,2.72
Midlands,Age 25-49,yg_age,Lab,48.52
Midlands,Age 25-49,yg_age,Reform,15.09
