state,county,year,winner,rep_votes,rep_pct,dem_votes,dem_pct,other_votes,other_pct
AL,Autauga,1824,,68,12.71,274,51.21,193,36.07
AL,Autauga,1828,,43,6.74,595,93.26,0,0
AL,Autauga,1836,,609,51.87,565,48.13,0,0
AL,Autauga,1840,,591,50.73,574,49.27,0,0
AL,Autauga,1844,,475,42.87,633,57.13,0,0
AL,Autauga,1848,,553,54,471,46,0,0
AL,Autauga,1852,,196,27.11,322,44.54,205,28.35
AL,Autauga,1856,R,0,0,621,56.66,475,43.34
AL,Autauga,1860,R,0,0,392,31.16,866,68.84
AL,Autauga,1868,R,1505,63.88,851,36.12,0,0
AL,Autauga,1872,R,1593,70.42,669,29.58,0,0
AL,Autauga,1876,R,1576,66.22,804,33.78,0,0
AL,Autauga,1880,R,974,49.52,978,49.72,15,0.76
AL,Autauga,1884,R,877,49.02,911,50.92,1,0.06
AL,Autauga,1888,R,519,36.76,893,63.24,0,0
AL,Autauga,1892,R,81,4.13,926,47.24,953,48.62
AL,Autauga,1896,R,289,17.2,1281,76.25,110,6.55
AL,Autauga,1900,R,537,34.36,980,62.7,46,2.94
AL,Autauga,1904,R,73,8.95,733,89.83,10,1.23
AL,Autauga,1908,R,97,12.9,655,87.1,0,0
AL,Autauga,1912,R,43,5.07,622,73.35,183,21.58
AL,Autauga,1916,R,99,11.15,773,87.05,16,1.8
AL,Autauga,1920,R,210,18.44,918,80.6,11,0.97
AL,Autauga,1924,R,146,15.3,781,81.87,27,2.83
AL,Autauga,1928,R,683,43.61,883,56.39,0,0
AL,Autauga,1932,R,138,9.37,1322,89.75,13,0.88
AL,Autauga,1936,R,84,5.19,1525,94.31,8,0.49
AL,Autauga,1940,R,99,5.69,1630,93.62,12,0.69
AL,Autauga,1944,R,117,8.58,1242,91.06,5,0.37
AL,Autauga,1948,R,110,8.55,0,0,1176,91.45
AL,Autauga,1952,R,787,34.1,1505,65.21,16,0.69
AL,Autauga,1956,R,857,37.47,1161,50.77,269,11.76
AL,Autauga,1960,R,1149,45.27,1324,52.17,65,2.56
AL,Autauga,1964,R,2969,85.83,0,0,490,14.17
AL,Autauga,1968,D,606,7.79,1553,19.97,5617,72.24
AL,Autauga,1972,R,5367,75.17,1593,22.31,180,2.52
AL,Autauga,1976,R,4512,48.32,4640,49.69,186,1.99
AL,Autauga,1980,R,6292,56.87,4295,38.82,476,4.3
AL,Autauga,1984,R,8350,70.07,3366,28.25,201,1.69
AL,Autauga,1988,R,7828,67.17,3667,31.47,159,1.36
AL,Autauga,1992,R,8715,55.92,4819,30.92,2051,13.16
AL,Autauga,1996,R,9509,61.66,5015,32.52,898,5.82
AL,Autauga,2000,R,11993,69.69,4942,28.72,273,1.59
AL,Autauga,2004,R,15196,75.67,4758,23.69,127,0.63
AL,Autauga,2008,R,17403,73.61,6093,25.77,145,0.61
AL,Autauga,2012,R,17379,72.49,6363,26.54,231,0.96
AL,Autauga,2016,R,18172,72.77,5936,23.77,865,3.46
AL,Autauga,2020,R,19838,71.44,7503,27.02,429,1.54
AL,Autauga,2024,R,20484,72.43,7439,26.3,358,1.27
AL,Baldwin,1888,R,547,43.04,724,56.96,0,0
AL,Baldwin,1892,R,382,27.64,912,65.99,88,6.37
AL,Baldwin,1896,R,404,34.21,726,61.47,51,4.32
AL,Baldwin,1900,R,396,43,444,48.21,81,8.79
AL,Baldwin,1904,R,126,20.52,454,73.94,34,5.54
AL,Baldwin,1908,R,109,17.06,439,68.7,91,14.24
AL,Baldwin,1912,R,37,4,623,67.28,266,28.73
AL,Baldwin,1916,R,216,18.95,766,67.19,158,13.86
AL,Baldwin,1920,R,556,28.7,1230,63.5,151,7.8
AL,Baldwin,1924,R,549,27.76,1023,51.72,406,20.53
AL,Baldwin,1928,R,1388,51.05,1317,48.44,14,0.51
AL,Baldwin,1932,R,544,19.57,2098,75.47,138,4.96
AL,Baldwin,1936,R,434,14.63,2338,78.8,195,6.57
AL,Baldwin,1940,R,617,17.62,2681,76.58,203,5.8
AL,Baldwin,1944,R,695,25.49,2002,73.41,30,1.1
AL,Baldwin,1948,R,767,22.26,0,0,2678,77.74
